transaction_id,customer_id,product_id,branch_id,rm_id,transaction_date,transaction_type,channel,amount_vnd
5872,128,103,12,41,2025-10-27,Phi banca,Internet Banking,2000000
5415,201,108,2,8,2025-10-15,Tra no vay,Mobile Banking,33000000
2472,351,109,5,16,2026-01-25,Giai ngan vay,Internet Banking,1989000000
488,388,108,3,11,2026-05-16,Giai ngan vay,Internet Banking,482000000
3115,215,101,3,9,2026-05-17,Phi banca,Quay giao dich,300000
412,102,106,11,39,2025-10-11,Tra no vay,POS,55000000
199,286,109,5,17,2026-01-29,Phi banca,Quay giao dich,1400000
1534,166,103,10,32,2026-07-23,Gui tiet kiem,POS,47000000
2988,141,101,12,40,2025-10-13,Giai ngan vay,Mobile Banking,197000000
173,41,107,1,1,2026-05-17,Chi tieu the,Mobile Banking,4800000
1239,130,110,6,19,2025-07-06,Gui tiet kiem,ATM,361000000
4787,170,107,1,1,2026-04-24,Rut tiet kiem,POS,79000000
910,391,106,11,38,2026-05-07,Rut tiet kiem,Quay giao dich,56000000
5208,213,107,7,23,2025-12-07,Tra no vay,POS,-29000000
2558,334,101,7,24,2025-09-12,Chi tieu the,ATM,500000
5240,283,109,1,3,2026-01-20,Phi banca,Internet Banking,600000
5848,255,105,6,20,2026-06-28,Phi banca,Mobile Banking,1200000
203,185,108,6,20,2026-02-15,Gui tiet kiem,ATM,376000000
1685,375,103,7,24,2025-08-29,Rut tiet kiem,Mobile Banking,236000000
67,365,109,8,26,2026-05-20,Rut tiet kiem,Mobile Banking,149000000
2107,168,101,5,16,2025-09-08,Rut tiet kiem,Internet Banking,237000000
3210,369,107,10,33,2026-07-03,Phi banca,Quay giao dich,400000
16,114,104,9,31,2026-06-12,Giai ngan vay,Mobile Banking,1101000000
431,49,110,9,31,2025-12-20,Gui tiet kiem,Internet Banking,295000000
2940,160,109,5,17,2026-07-26,Gui tiet kiem,POS,285000000
5565,54,107,8,28,2026-07-06,Giai ngan vay,Internet Banking,315000000
517,267,109,8,26,2025-11-23,Gui tiet kiem,Mobile Banking,266000000
4734,305,108,12,40,2026-05-21,Gui tiet kiem,Quay giao dich,435000000
890,192,103,2,7,2026-05-14,Chi tieu the,POS,2600000
1505,140,109,9,29,2025-12-06,Gui tiet kiem,ATM,37000000
1298,312,105,8,28,2025-09-11,Chi tieu the,Mobile Banking,2700000
4616,49,107,9,31,2026-03-15,Rut tiet kiem,Internet Banking,186000000
655,376,107,12,41,2025-09-26,Giai ngan vay,Mobile Banking,455000000
